locales	is_default	platform fallback locale
locales	status	
locales	created_at	
locales	updated_at	
merchant_currencies	id	
merchant_currencies	merchant_id	
merchant_currencies	currency_code	
merchant_currencies	is_default	1=????
merchant_currencies	status	
merchant_currencies	created_at	
merchant_currencies	updated_at	
merchant_game_versions	id	
merchant_game_versions	merchant_id	
merchant_game_versions	game_id	
merchant_game_versions	client_version_id	
merchant_game_versions	min_version_id	force upgrade below this version
merchant_game_versions	force_upgrade	
merchant_game_versions	rollout_percent	canary rollout 0-100
merchant_game_versions	status	
merchant_game_versions	effective_from	
merchant_game_versions	created_at	
merchant_game_versions	updated_at	
merchant_games	id	
merchant_games	merchant_id	
merchant_games	game_id	
merchant_games	rtp_tier_code	???? RTP ??
merchant_games	min_bet_minor	??????NULL=?????
merchant_games	max_bet_minor	?????
merchant_games	sort_order	??????
merchant_games	status	1=?? 0=??
merchant_games	opened_at	????
merchant_games	created_at	
merchant_games	updated_at	
merchant_locales	id	
merchant_locales	merchant_id	
merchant_locales	locale_code	
merchant_locales	is_default	merchant default language
merchant_locales	sort_order	
merchant_locales	status	
merchant_locales	created_at	
merchant_locales	updated_at	
merchant_settlement_lines	id	
merchant_settlement_lines	settlement_period_id	
merchant_settlement_lines	merchant_id	
merchant_settlement_lines	line_type	daily_aggregate/game_breakdown/commission/adjustment
merchant_settlement_lines	ref_date	for daily_aggregate lines
merchant_settlement_lines	game_id	
merchant_settlement_lines	daily_settlement_id	link to daily_settlements.id
merchant_settlement_lines	description	
merchant_settlement_lines	total_bet_minor	
merchant_settlement_lines	total_win_minor	
merchant_settlement_lines	total_rounds	
merchant_settlement_lines	commission_rate_ppm	snapshot of rate at close
merchant_settlement_lines	commission_minor	
merchant_settlement_lines	amount_minor	signed line amount
merchant_settlement_lines	sort_order	
merchant_settlement_lines	created_at	
merchant_wallet_configs	id	
merchant_wallet_configs	merchant_id	
merchant_wallet_configs	wallet_type	seamless/transfer/mock
merchant_wallet_configs	base_url	
merchant_wallet_configs	api_key	
merchant_wallet_configs	sign_secret	HMAC ?????????
merchant_wallet_configs	sign_enabled	
merchant_wallet_configs	verify_response	
merchant_wallet_configs	timeout_ms	
merchant_wallet_configs	mock	1=Mock ??
merchant_wallet_configs	status	
merchant_wallet_configs	created_at	
merchant_wallet_configs	updated_at	
merchant_webhooks	id	
merchant_webhooks	merchant_id	
merchant_webhooks	event_type	settlement.confirmed/bigwin/risk.alert
merchant_webhooks	target_url	
merchant_webhooks	secret	HMAC signing secret
merchant_webhooks	headers	extra HTTP headers
merchant_webhooks	retry_max	
merchant_webhooks	timeout_ms	
merchant_webhooks	status	1=active 0=disabled
merchant_webhooks	last_triggered_at	
merchant_webhooks	last_status_code	
merchant_webhooks	created_at	
merchant_webhooks	updated_at	
merchants	id	
merchants	merchant_code	商户唯一编码
merchants	name	商户名称
merchants	public_key	API 公钥
merchants	private_key	API 私钥 (加密存储)
merchants	private_key_prev	轮换过渡期旧私钥
merchants	private_key_prev_expires_at	旧私钥失效时间
merchants	allowed_ips	聚合器报备公网 IP 白名单
merchants	status	1=启用 0=禁用
merchants	created_at	
merchants	updated_at	
pending_transactions	id	
pending_transactions	trace_id	å…¨é“¾è·¯ TraceID
pending_transactions	round_id	Round / Nonce
pending_transactions	merchant_id	
pending_transactions	merchant_code	
pending_transactions	user_id	
pending_transactions	game_code	
pending_transactions	phase	bet_debited|win_pending|settled|orphan
pending_transactions	status	pending|done|failed
pending_transactions	bet_amount	minor units, scale=10000
pending_transactions	win_amount	minor units
pending_transactions	expected_action	settle_win|rollback_bet|none
pending_transactions	wallet_bet_status	
pending_transactions	wallet_win_status	
pending_transactions	retry_count	
pending_transactions	last_error	
pending_transactions	created_at	
pending_transactions	updated_at	
player_merchant_profiles	id	
player_merchant_profiles	merchant_id	
player_merchant_profiles	user_id	player id in merchant system
player_merchant_profiles	external_user_ref	optional merchant-side string id
player_merchant_profiles	display_name	
player_merchant_profiles	vip_level	0=normal, higher=better
player_merchant_profiles	risk_level	0=normal, 9=blocked
player_merchant_profiles	tags	["high_roller","test"]
player_merchant_profiles	bet_limit_override	{"min":10000,"max":5000000}
player_merchant_profiles	currency_code	
player_merchant_profiles	lifetime_bet_minor	
player_merchant_profiles	lifetime_win_minor	
player_merchant_profiles	lifetime_rounds	
player_merchant_profiles	last_played_at	
player_merchant_profiles	status	1=active 0=suspended
player_merchant_profiles	created_at	
player_merchant_profiles	updated_at	
risk_alerts	id	
risk_alerts	merchant_id	
risk_alerts	alert_type	
risk_alerts	scope_type	user | game
risk_alerts	scope_value	
risk_alerts	merchant_code	
risk_alerts	game_code	
risk_alerts	rtp_ppm	å®žé™…RTP * 1e6ï¼Œ180%=1800000
risk_alerts	total_bet	
risk_alerts	total_win	
risk_alerts	sample_size	
risk_alerts	action_taken	
risk_alerts	status	
risk_alerts	created_at	
risk_blacklist	id	
risk_blacklist	list_type	ip / user_id / merchant
risk_blacklist	list_value	黑名单值
risk_blacklist	reason	封禁原因
risk_blacklist	status	1=生效 0=解除
risk_blacklist	expires_at	NULL=永久
risk_blacklist	created_at	
risk_blacklist	updated_at	
roles	id	
roles	name	
roles	description	
roles	created_at	
roles	updated_at	
schema_archive_policies	id	
schema_archive_policies	table_name	
schema_archive_policies	hot_retention_days	keep in MySQL hot tier
schema_archive_policies	cold_retention_days	optional cold storage before purge
schema_archive_policies	archive_strategy	delete/export_to_s3/partition_drop
schema_archive_policies	partition_column	e.g. created_at for monthly partitions
schema_archive_policies	last_archived_at	
schema_archive_policies	notes	
schema_archive_policies	status	
schema_archive_policies	created_at	
schema_archive_policies	updated_at	
schema_migrations	id	
schema_migrations	version	?????
schema_migrations	description	
schema_migrations	applied_at	
settlement_periods	id	
settlement_periods	merchant_id	
settlement_periods	period_type	daily/weekly/monthly
settlement_periods	period_start	
settlement_periods	period_end	
settlement_periods	currency_code	
settlement_periods	total_bet_minor	
settlement_periods	total_win_minor	
settlement_periods	ggr_minor	total_bet - total_win
settlement_periods	commission_minor	platform share from GGR
settlement_periods	net_payable_minor	amount due (platform receivable)
settlement_periods	total_rounds	
settlement_periods	status	draft/pending_review/confirmed/invoiced/paid
settlement_periods	confirmed_by	admin_users.id
settlement_periods	confirmed_at	
settlement_periods	notes	
settlement_periods	created_at	
settlement_periods	updated_at	
wallet_pending_ops	id	
wallet_pending_ops	round_id	
wallet_pending_ops	merchant_id	
wallet_pending_ops	merchant_code	
wallet_pending_ops	user_id	
wallet_pending_ops	op_type	win_failed / win_timeout / rollback
wallet_pending_ops	bet_amount	minor units
wallet_pending_ops	win_amount	minor units
wallet_pending_ops	status	pending / done / failed
wallet_pending_ops	retry_count	
wallet_pending_ops	last_error	
wallet_pending_ops	created_at	
wallet_pending_ops	updated_at	
